Account Name,Website,Industries Trade,Industries Other,Products Self Reported,HS Code,Keywords,Billing Zip/Postal Code
AGRI International LLC,http://www.agrillc.com/,Agriculture; Food & Beverage,,"Agri International is based in Atlanta Georgia. We specialize in vegetable oils, Rice, animal feed and frozen poultry. We have over 30 years experience in International trade and are proud to call Georgia our home.",,"Vegetable Oils, Corn Oil, Soybean Oil, Canola Oil, Peanut Oil, Animal Feed, Soybean, Corn, Corn Gluten Meal, CGM, DDG,DDGS,Soybean Meal,SBM,Chicken Leg Quarter, Poultry, Frozen Poultry",30339
Aventure Aviation,www.aventureaviation.com,Aerospace,,"Aventure provide parts for Airbus, Boeing, Bombardier, Embraer commercial aircraft and Lockheed C130, F-16 and other military aircraft from our warehouse located in Atlanta with international offices in Turkey, China, Canada and UK",8800.3,"aircraft parts, aircraft parts repair, commercial aircraft parts, military aircraft parts, aircraft hardware, aircraft consumables and expendables, aircraft rotables",30269
Control Specialties,www.control-specialties.com,Aerospace; Building & Construction; Chemicals; Defense; Energy; Food & Beverage; Healthcare; Manufacturing; Medical Devices; Mining; Pharmaceuticals; Textiles,"OEM, Paper, Corrugators, Transportation,","Products include centrifugal and vacuum pumps, control valves, instrumentation, compressed air auxiliaries, pump and motor repairs, filtration, vibration monitors and controls.",,"Piping products pertaining to steam, compressed air, water and vacuum utilities in manufacturing facilities.",30507
"Dalton Distillers , LLC",http://www.daltondistillery.com/,Agriculture; Food & Beverage; Manufacturing,,"We are a small craft Distillery. We only use Georgia Grown corn. We also use Georgia Grown sunflower seeds to make a unique aged spirit. If you want Georgia Grown Moonshine, aged sunflower spirit, or smooth vodka check out our website.",,"Sunflower seeds, spirit , vodka , liquor , Georgia Grown , Moonshine , whiskey , whisky",30720
"Eva Jane Beauty, LLC",www.EvaJaneBeauty.com,,Health and Beauty,"Eva Jane Beauty offers a line of time saving beauty products that are ""Making Beauty Easier"" for people who want to look good in a short amount of time. Our signature product, ""The Makeup Bullet® - HiDef Cosmetic Finger Sponge"" fits snugly on a finger.",961620,"beauty, cosmetics, toiletries, makeup",30274
Foam Products Corp,www.foamproducts.com,Building & Construction; Manufacturing; Textiles,"Floor Covering, Acoustical Products, Adhesives",Foam Products Corp (FPC) is North America's leading acoustical underlayment manufacturer for solid/rigid core vinyl and wood/laminate flooring. FPC also offers array of cushioning and surface/wall accessory products.,392113,"acoustical, underlayment, foam, polyurethane, recycling, recycled, recycle, adhesive, manufacturer, protection, cushion, cushioning, surface, flooring, floor, laminate, vinyl, solid, rigid, core, carpet",30701
"Hydro Dynamics, Inc.",www.hydrodynamics.com,Manufacturing,Machinery,"Cavitation based technology with applications from biodiesel to brewery providing better mixing, extraction and reactions.",847982,"Cavitation, reactor, mixer, brewery, equipment, biodiesel, extraction",30165
"One-World, Inc.",www.one-world-inc.com,Healthcare; Pharmaceuticals,,"One-World is an international specialty pharmaceutical distribution company .We proudly offer complete lines of specialty pharmaceuticals, innovative biologics, orphan drugs, controlled drugs and nutritional supplements.",300490,"distributor , over the counter drugs, prescription drugs, exporter, wholesale, FDA, oncology, controlled drugs, orphan drugs, vitamin , supplements",30084
Pain Care Labs,www.paincarelabs.com,Healthcare; Manufacturing; Medical Devices,,"Our FDA-registered, 510K-cleared devices Buzzy & VibraCool control pain associated with injections, venipuncture, IV starts, cosmetic injections and are also intended to treat myofascial pain caused by trigger points, restricted motion and muscle tension.","392690, 901910, 420229, 950440, 950300, 391000, 392321","Needle pain, needle phobia, back pain, knee pain, IVF, vaccination, HPV, opioid epidemic, drug-free, pain relief, cryotherapy, TENS, oscillice, tendinitis, aches, plantar fasciitis, muscle strain, delayed onset muscle soreness, tennis elbow, chronic pain",30307
Pickled Pink Foods LLC,http://www.pickledpinkfoods.com/,Food & Beverage,,Gourmet All Natural food company that produces Southern based pickled products in shelf stable retail jars.,20,"Pickles, Gourmet Food, Southern, Peaches, Jalapeno's, Okra, Beets, Natural",30092
The Tru-Nut Company,www.tru-nutbutter.com,Food & Beverage,,"Tru-Nut Powdered Peanut Butter, Tru-Nut Peanut Protein Powder, Tru-Nut Keto Collagen Protein Powder","210610, 200811","vegan, protein, plant, keto, tru-nut, peanut, powdered peanut butter, vegetarian",30308
Trans Globe,www.tglobetrade.com/,Agriculture; Food & Beverage; Logistics,"Feed, Grain, Commodities","Feed and grains, animal proteins, feed additives, hay and forage, processed foods, dry pulses",,"food, feed, grain, agriculture, international",30188
